PS C:\Users\ИСП-20\Desktop\Родин\Desktop_Auth> python -m cProfile "code.py"
         4340 function calls (4298 primitive calls) in 5.119 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
       44    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       30    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        2    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
        4    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:229(splitext)
       17    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.000    0.000 _parser.py:222(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2280(wm_title)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1684(<setcomp>)
       25    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
       19    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
       14    0.000    0.000    0.000    0.000 _parser.py:247(match)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
        7    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        8    0.000    0.000    0.000    0.000 _parser.py:162(__getitem__)
        2    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
       36    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'createcommand' of '_tkinter.tkapp' objects}
       30    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        2    0.000    0.000    0.000    0.000 _parser.py:444(_uniq)
        2    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
       30    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       37    0.000    0.000    0.000    0.000 enum.py:1145(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3333(Menu)
        1    0.000    0.000    0.000    0.000 <frozen os>:748(encodekey)
       28    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        8    0.000    0.000    0.000    0.000 _parser.py:284(tell)
       14    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       22    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
